groupId,count,score,text
1739991001000000036,920,5.82,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Untrust action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=202.214.113.11 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1745848331000000007,910,0.00,Session (id * src-ip 202.214.113.11 dst-ip * dst port *) route is valid.
1745848331000000015,852,0.00,Session (id * src-ip * dst-ip * dst port *) route is valid.
1739991322000000043,796,4.42,duration=* policy_id=* service=Network Time proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.4.78 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745801507000000003,560,0.00,duration=* policy_id=* service=udp/port:* proto=* src zone=Trust dst zone=DMZ action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745830552000000002,540,0.00,duration=* policy_id=* service=udp/port:* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745864774000000010,484,0.00,IKE V2 *: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1739990765000000028,435,4.52,duration=* policy_id=* service=dns proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745912423000000001,428,4.58,duration=* policy_id=* service=https proto=* src zone=DMZ dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.64.7 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745864768000000008,348,0.00,IKE * 1.179.228.242: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1745808822000000002,294,4.47,duration=* policy_id=* service=* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=1.179.228.243 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745778604000000007,286,0.00,IKE V2 *: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1745848331000000016,276,0.00,Session (id * src-ip * dst-ip 159.143.221.187 dst port *) route is valid.
1745863866000000004,256,0.00,IKE * 124.43.18.36: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1745801579000000004,244,0.00,duration=* policy_id=* service=udp/port:* proto=* src zone=Trust dst zone=OpenVPN action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1744214373000000004,198,0.00,duration=* policy_id=* service=https proto=* src zone=OpenVPN dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745778602000000005,182,0.00,IKE * 1.179.228.242: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1745863822000000002,168,0.00,IKE * 121.97.69.116: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1745370726000000001,144,0.00,duration=* policy_id=* service=https proto=* src zone=Trust dst zone=Untrust action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=202.214.113.11 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP *
1745777698000000001,130,0.00,IKE * 124.43.18.36: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1743307172000000014,129,10.14,IKE 210.184.113.40 phase *:The symmetric crypto key has been generated successfully.
1739992348000000008,117,9.52,"IKE 210.184.113.40 Phase * * ID *: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
1739991727000000001,115,12.55,The system clock was updated from primary NTP server type 192.168.88.1 with an adjustment of * ms. Authentication was None. Update mode was Automatic
1745864774000000011,113,0.00,"IKE 122.53.157.171 child sa with * CHILD SA: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
1745299033000000006,106,0.00,duration=* policy_id=* service=* (tcp) proto=* src zone=OpenVPN dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745825606000000005,97,8.67,IKE 210.184.113.40 Phase * * ID *: * to the peer'* first message.
1745912496000000002,94,8.88,IKE * 189.115.47.130: Received a notification message for * NOTIFY_MSG_INVALID_SYNTAX.
1745908825000000001,61,0.00,IKE * 189.115.47.130: Received a notification message for * NOTIFY_MSG_INVALID_SYNTAX.
1745777700000000003,90,0.00,IKE * 121.97.69.116: Received a notification message for * NOTIFY_MSG_NON_FIRST_FRAGMENTS_ALSO.
1745864704000000007,90,0.00,Rejected an IKE packet on ethernet0/* from *:* to 202.214.113.11:* with cookies * and * because an initial Phase * packet arrived from an * peer gateway.
1745645077000000006,75,0.00,Rejected an IKE packet on ethernet0/* from *:* to *:* with cookies * and * because an initial Phase * packet arrived from an unrecognized peer gateway.
1745778604000000008,76,0.00,"IKE 122.53.157.171 child sa with * CHILD SA: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
1745802077000000001,72,0.00,duration=* policy_id=* service=udp/port:* proto=* src zone=DMZ dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745863822000000003,72,0.00,"IKE 121.97.69.116 child sa with * CHILD SA: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
1745863866000000005,72,0.00,"IKE 124.43.18.36 child sa with * CHILD SA: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
1745864768000000009,72,0.00,"IKE 1.179.228.242 child sa with * CHILD SA: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
1739996497000000002,68,7.41,IKE * IKESA : * IKESA negotiations with * CHILD SA.
1742905391000000007,65,0.00,System clock * * been * by brastel_admins
1745863306000000001,63,0.00,IKE 210.184.113.40: Received a notification message for * * * NOTIFY_NS_NHTB_INFORM.
1740042698000000002,62,6.16,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=DMZ action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745689222000000001,58,0.00,
1739992784000000010,50,12.66,System clock * have been * by brastel_admins
1743997256000000002,47,5.96,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=DMZ action=Permit sent=* rcvd=* src=192.168.130.5 dst=* src_port=* dst_port=* src-xlated ip=192.168.130.5 port=* dst-xlated ip=* port=* session_id=* reason=Close - * *
1745626106000000001,42,0.00,duration=* policy_id=* service=udp/port:* proto=* src zone=* dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=192.168.140.88 src_port=* dst_port=* session_id=* reason=Traffic Denied
1745818845000000001,40,0.00,IKE * 189.115.47.130: Received a notification message for * NOTIFY_MSG_INVALID_SYNTAX.
1745822446000000001,40,0.00,IKE * 189.115.47.130: Received a notification message for * NOTIFY_MSG_INVALID_SYNTAX.
1745826027000000001,40,0.00,IKE * 189.115.47.130: Received a notification message for * NOTIFY_MSG_INVALID_SYNTAX.
1745848351000000017,40,0.00,Session (id * src-ip * dst-ip 38.90.226.63 dst port *) route is valid.
1745777698000000002,38,0.00,"IKE 124.43.18.36 child sa with * CHILD SA: Completed negotiations with SPI *, tunnel ID *, and lifetime * seconds/* KB."
