groupId,count,score,text
1739991833000000008,4450,4.69,duration=* policy_id=* service=https proto=* src zone=Private dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990803000000061,4324,4.53,duration=* policy_id=* service=https proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739991000000000066,4148,4.69,duration=* policy_id=* service=*/port:* proto=* src zone=Private dst zone=Trust action=Deny sent=* rcvd=* src=* dst=192.168.48.132 src_port=* dst_port=* session_id=* reason=Traffic Denied
1739991043000000068,4150,4.54,duration=* policy_id=* service=https proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739991435000000077,4098,4.51,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1742535220000000001,3960,4.68,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739993417000000024,3374,4.44,duration=* policy_id=* service=http proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1745809201000000001,3048,0.00,duration=* policy_id=* service=icmp proto=* src zone=Private dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* icmp type=* icmp *=* session_id=* reason=Traffic Denied
1739991871000000009,2945,4.61,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.235 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.235 port=* session_id=* reason=Close - TCP FIN
1745208845000000001,2898,4.63,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.133 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.133 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1739990605000000009,2840,4.58,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745677815000000003,2328,0.00,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990701000000039,2266,4.54,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.245 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.245 port=* session_id=* reason=Close - TCP FIN
1739990709000000044,2064,4.52,duration=* policy_id=* service=tcp/port:* proto=* src zone=Untrust dst zone=Trust action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
