groupId,lastUpdate,count,score,text
1739990643000000027,2025-04-29 17:37:46,6974,4.453,"Apr 29 17:37:46 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:34:45"" duration=181 policy_id=175 service=tcp/port:9771 proto=6 src zone=Trust dst zone=BICS-VPN action=Permit sent=4382 rcvd=4534 src=192.168.48.52 dst=8.3.217.11 src_port=55502 dst_port=9771 src-xlated ip=202.173.5.240 port=18614 dst-xlated ip=8.3.217.11 port=9771 session_id=47385 reason=Close - TCP FIN"
1739990627000000022,2025-04-29 17:40:00,6972,4.455,"Apr 29 17:40:00 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:38:17"" duration=103 policy_id=178 service=tcp/port:9003 proto=6 src zone=Trust dst zone=BICS-VPN action=Permit sent=2035 rcvd=8429 src=192.168.48.51 dst=202.87.106.46 src_port=55401 dst_port=9003 src-xlated ip=202.173.5.240 port=19741 dst-xlated ip=202.87.106.46 port=9003 session_id=46092 reason=Close - TCP FIN"
1745452803000000001,2025-04-29 17:40:04,6910,4.560,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:01"" duration=3 policy_id=331 service=ldap proto=6 src zone=Trust dst zone=Private action=Permit sent=15592 rcvd=279452 src=192.168.48.33 dst=192.168.14.246 src_port=57144 dst_port=389 src-xlated ip=192.168.48.33 port=57144 dst-xlated ip=192.168.14.246 port=389 session_id=47180 reason=Close - TCP RST"
1743342742000000001,2025-04-29 17:39:58,6765,4.759,"Apr 29 17:39:58 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:38:57"" duration=61 policy_id=328 service=udp/port:389 proto=17 src zone=Trust dst zone=Private action=Permit sent=334 rcvd=230 src=192.168.48.134 dst=192.168.14.235 src_port=53048 dst_port=389 src-xlated ip=192.168.48.134 port=53048 dst-xlated ip=192.168.14.235 port=389 session_id=45566 reason=Close - AGE OUT"
1739990707000000043,2025-04-29 17:39:56,5375,4.467,"Apr 29 17:39:56 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:37:22"" duration=154 policy_id=256 service=tcp/port:57888 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=1918 rcvd=2435 src=192.168.47.111 dst=192.168.48.180 src_port=61805 dst_port=57888 src-xlated ip=192.168.47.111 port=61805 dst-xlated ip=192.168.48.180 port=57888 session_id=45804 reason=Close - TCP FIN"
1739991833000000008,2025-04-29 17:40:03,4450,4.692,"Apr 29 17:40:03 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:02"" duration=0 policy_id=7 service=https proto=6 src zone=Private dst zone=Trust action=Deny sent=0 rcvd=32 src=192.168.64.206 dst=192.168.48.1 src_port=4849 dst_port=443 session_id=0 reason=Traffic Denied"
1739990803000000061,2025-04-29 17:38:44,4324,4.535,"Apr 29 17:38:44 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:03"" duration=161 policy_id=186 service=https proto=6 src zone=Trust dst zone=BICS-VPN action=Permit sent=4542 rcvd=5491 src=192.168.48.52 dst=203.115.242.27 src_port=55544 dst_port=443 src-xlated ip=202.173.5.240 port=28322 dst-xlated ip=203.115.242.27 port=443 session_id=47607 reason=Close - TCP FIN"
1739991000000000066,2025-04-29 17:40:04,4148,4.692,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:03"" duration=0 policy_id=7 service=udp/port:1434 proto=17 src zone=Private dst zone=Trust action=Deny sent=0 rcvd=13 src=192.168.2.37 dst=192.168.48.132 src_port=62039 dst_port=1434 session_id=0 reason=Traffic Denied"
1739991043000000068,2025-04-29 17:35:56,4150,4.537,"Apr 29 17:35:56 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:33:01"" duration=175 policy_id=186 service=https proto=6 src zone=Trust dst zone=BICS-VPN action=Permit sent=2642 rcvd=3681 src=192.168.48.51 dst=203.115.242.27 src_port=54957 dst_port=443 src-xlated ip=202.173.5.240 port=26180 dst-xlated ip=203.115.242.27 port=443 session_id=45558 reason=Close - TCP FIN"
1739991435000000077,2025-04-29 17:36:40,4098,4.507,"Apr 29 17:36:40 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:37"" duration=3 policy_id=331 service=ldap proto=6 src zone=Trust dst zone=Private action=Permit sent=3202 rcvd=3559 src=192.168.48.33 dst=192.168.14.245 src_port=57032 dst_port=389 src-xlated ip=192.168.48.33 port=57032 dst-xlated ip=192.168.14.245 port=389 session_id=47335 reason=Close - TCP FIN"
1742535220000000001,2025-04-29 17:01:37,3960,4.678,"Apr 29 17:01:37 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:01:36"" duration=0 policy_id=12 service=https proto=6 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=32 src=192.168.48.33 dst=40.126.13.8 src_port=55941 dst_port=443 session_id=0 reason=Traffic Denied"
1739993417000000024,2025-04-29 17:35:10,3374,4.442,"Apr 29 17:35:10 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:35:06"" duration=4 policy_id=19 service=http proto=6 src zone=Trust dst zone=Private action=Permit sent=986 rcvd=18234 src=192.168.48.130 dst=192.168.225.56 src_port=24154 dst_port=80 src-xlated ip=192.168.48.130 port=24154 dst-xlated ip=192.168.225.56 port=80 session_id=47245 reason=Close - TCP RST"
1745809201000000001,2025-04-29 16:00:04,3048,0.000,"Apr 29 16:00:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 16:00:03"" duration=0 policy_id=10 service=icmp proto=1 src zone=Private dst zone=Untrust action=Deny sent=0 rcvd=64 src=192.168.1.20 dst=192.168.47.254 icmp type=8 icmp code=0 session_id=0 reason=Traffic Denied"
1739991871000000009,2025-04-29 17:30:22,2945,4.608,"Apr 29 17:30:22 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:30:19"" duration=3 policy_id=328 service=ldap proto=6 src zone=Trust dst zone=Private action=Permit sent=3256 rcvd=4871 src=192.168.48.124 dst=192.168.14.235 src_port=53629 dst_port=389 src-xlated ip=192.168.48.124 port=53629 dst-xlated ip=192.168.14.235 port=389 session_id=46455 reason=Close - TCP FIN"
1745208845000000001,2025-04-29 17:00:04,2898,4.626,"Apr 29 17:00:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:00:02"" duration=2 policy_id=328 service=ldap proto=6 src zone=Trust dst zone=Private action=Permit sent=15565 rcvd=279323 src=192.168.48.133 dst=192.168.14.235 src_port=57692 dst_port=389 src-xlated ip=192.168.48.133 port=57692 dst-xlated ip=192.168.14.235 port=389 session_id=47620 reason=Close - TCP RST"
1739990605000000009,2025-04-29 17:36:47,2840,4.577,"Apr 29 17:36:47 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:46"" duration=0 policy_id=12 service=tcp/port:8883 proto=6 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=32 src=192.168.48.134 dst=38.90.226.64 src_port=52777 dst_port=8883 session_id=0 reason=Traffic Denied"
1745677815000000003,2025-04-29 05:37:34,2328,0.000,"Apr 29 05:37:34 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 05:37:33"" duration=0 policy_id=12 service=https proto=6 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=28 src=192.168.48.52 dst=216.58.220.131 src_port=64351 dst_port=443 session_id=0 reason=Traffic Denied"
1739990701000000039,2025-04-29 17:38:14,2266,4.535,"Apr 29 17:38:14 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:38:10"" duration=4 policy_id=328 service=ldap proto=6 src zone=Trust dst zone=Private action=Permit sent=4000 rcvd=3214 src=192.168.48.123 dst=192.168.14.245 src_port=58598 dst_port=389 src-xlated ip=192.168.48.123 port=58598 dst-xlated ip=192.168.14.245 port=389 session_id=45936 reason=Close - TCP FIN"
1739990709000000044,2025-04-29 17:35:12,2064,4.519,"Apr 29 17:35:12 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:30:50"" duration=262 policy_id=93 service=tcp/port:445 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=69007 rcvd=131767 src=192.168.47.12 dst=192.168.48.31 src_port=65005 dst_port=445 src-xlated ip=192.168.47.12 port=65005 dst-xlated ip=192.168.48.31 port=445 session_id=46419 reason=Close - TCP RST"
1745487793000000001,2025-04-29 17:39:10,1879,4.745,"Apr 29 17:39:10 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:38:09"" duration=61 policy_id=328 service=udp/port:389 proto=17 src zone=Trust dst zone=Private action=Permit sent=291 rcvd=223 src=192.168.48.123 dst=192.168.14.244 src_port=54238 dst_port=389 src-xlated ip=192.168.48.123 port=54238 dst-xlated ip=192.168.14.244 port=389 session_id=47459 reason=Close - AGE OUT"
1745303596000000005,2025-04-29 17:37:57,1600,4.666,"Apr 29 17:37:57 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:37:56"" duration=0 policy_id=7 service=udp/port:443 proto=17 src zone=Private dst zone=Trust action=Deny sent=0 rcvd=1228 src=192.168.8.53 dst=192.168.48.33 src_port=65394 dst_port=443 session_id=0 reason=Traffic Denied"
1739990607000000011,2025-04-29 17:17:00,1502,4.666,"Apr 29 17:17:00 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:16:00"" duration=60 policy_id=331 service=msrpc Endpoint Mapper(tcp) proto=6 src zone=Trust dst zone=Private action=Permit sent=758 rcvd=570 src=192.168.48.33 dst=192.168.1.235 src_port=56402 dst_port=135 src-xlated ip=192.168.48.33 port=56402 dst-xlated ip=192.168.1.235 port=135 session_id=47970 reason=Close - AGE OUT"
1745809201000000002,2025-04-29 12:00:04,1476,0.000,"Apr 29 12:00:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 12:00:03"" duration=0 policy_id=7 service=icmp proto=1 src zone=Private dst zone=Trust action=Deny sent=0 rcvd=64 src=192.168.1.20 dst=192.168.48.254 icmp type=8 icmp code=0 session_id=0 reason=Traffic Denied"
